Transaction ID,Date,Product Category,Subcategory,Product Name,Brand Name,Units Sold,Unit Price,Discount (%),Discounted Price,Total Revenue,GST_Percentage,GST_Amount,Total_Revenue_Incl_GST,Current Stock,Stock_Status,Rating,Returns,Customer Type,Region,Payment Method
TXN100013,2025-01-11,Mobiles,Smartphones,Xiaomi Smartphones 999,Xiaomi,3,11923,0,11923.0,35769.0,18,6438.42,42207.42,72,In Stock,4.9,0,Returning,Main Market - Rohit Electronics,Cash
TXN100014,2025-01-11,Laptops,Gaming,HP Gaming 586,HP,5,51643,0,51643.0,258215.0,18,46478.7,304693.7,77,In Stock,3.6,0,New,Main Market - Rohit Electronics,Card
TXN100015,2025-01-11,Mobile Accessories,Cases,Samsung Cases 548,Samsung,15,53919,0,53919.0,808785.0,18,145581.3,954366.3,31,In Stock,3.1,0,New,Main Market - Rohit Electronics,Card
TXN100016,2025-01-11,Laptops,Gaming,ASUS Gaming 824,ASUS,1,100007,0,100007.0,100007.0,18,18001.26,118008.26,4,Low Stock,4.6,0,New,Main Market - Rohit Electronics,UPI
TXN100017,2025-01-11,Laptop Accessories,Keyboard,HP Keyboard 840,HP,15,91953,0,91953.0,1379295.0,18,248273.1,1627568.1,60,In Stock,4.5,0,New,Main Market - Rohit Electronics,Card
TXN100018,2025-01-11,Laptop Accessories,Bags,Zebronics Bags 520,Zebronics,8,2369,10,2132.1,17056.8,18,3070.22,20127.02,86,In Stock,4.1,0,New,Main Market - Rohit Electronics,UPI
TXN100019,2025-01-11,Mobile Accessories,Chargers,Realme Chargers 296,Realme,4,16786,0,16786.0,67144.0,18,12085.92,79229.92,54,In Stock,3.0,0,New,Main Market - Rohit Electronics,UPI
TXN100020,2025-01-11,Mobiles,Smartphones,Nothing Smartphones 653,Nothing,1,28056,15,23847.6,23847.6,18,4292.57,28140.17,30,Low Stock,2.9,0,New,Main Market - Rohit Electronics,UPI
TXN100021,2025-01-11,Mobiles,Smartphones,Realme Smartphones 102,Realme,4,12345,15,10493.25,41973.0,18,7555.14,49528.14,100,In Stock,3.6,0,Returning,Main Market - Rohit Electronics,Cash
TXN100022,2025-01-11,Laptops,Business,Dell Business 159,Dell,5,83217,5,79056.15,395280.75,18,71150.54,466431.29,95,In Stock,3.3,0,Returning,Main Market - Rohit Electronics,Card
TXN100023,2025-01-11,Laptops,Gaming,HP Gaming 182,HP,2,38981,5,37031.95,74063.9,18,13331.5,87395.4,86,In Stock,4.7,0,New,Main Market - Rohit Electronics,Card
TXN100024,2025-01-11,Mobiles,Smartphones,Realme Smartphones 773,Realme,5,17260,5,16397.0,81985.0,18,14757.3,96742.3,33,In Stock,3.0,0,New,Main Market - Rohit Electronics,UPI
TXN100025,2025-01-11,Laptop Accessories,Keyboard,Dell Keyboard 568,Dell,6,84274,15,71632.9,429797.4,18,77363.53,507160.93,1,Low Stock,3.6,1,New,Main Market - Rohit Electronics,Cash
TXN100026,2025-01-11,Laptops,Student,Lenovo Student 235,Lenovo,3,34508,15,29331.8,87995.4,18,15839.17,103834.57,47,In Stock,3.2,0,Returning,Main Market - Rohit Electronics,Card
TXN100027,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 999,Jio,2,1541,0,1541.0,3082.0,12,369.84,3451.84,13,Low Stock,4.4,0,Returning,Main Market - Rohit Electronics,Card
TXN100028,2025-01-11,Laptops,Student,Lenovo Student 308,Lenovo,3,63122,0,63122.0,189366.0,18,34085.88,223451.88,6,Low Stock,2.7,0,Returning,Main Market - Rohit Electronics,Cash
TXN100029,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 752,Jio,3,1330,10,1197.0,3591.0,12,430.92,4021.92,70,In Stock,4.3,0,New,Main Market - Rohit Electronics,Cash
TXN100030,2025-01-11,Laptops,Student,Acer Student 954,Acer,3,63175,5,60016.25,180048.75,18,32408.77,212457.52,55,In Stock,2.8,0,New,Main Market - Rohit Electronics,UPI
TXN100031,2025-01-11,Laptops,Student,Acer Student 782,Acer,1,48178,10,43360.2,43360.2,18,7804.84,51165.04,52,In Stock,4.9,0,New,Main Market - Rohit Electronics,Cash
TXN100032,2025-01-11,Laptops,Business,Dell Business 283,Dell,3,86274,15,73332.9,219998.7,18,39599.77,259598.47,85,In Stock,4.7,0,Returning,Main Market - Rohit Electronics,Cash
TXN100033,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 979,Jio,4,1455,0,1455.0,5820.0,12,698.4,6518.4,58,In Stock,3.4,0,New,Main Market - Rohit Electronics,Cash
TXN100034,2025-01-11,Mobiles,Smartphones,Realme Smartphones 436,Realme,3,9137,20,7309.6,21928.8,18,3947.18,25875.98,35,In Stock,3.4,0,Returning,Main Market - Rohit Electronics,Cash
TXN100035,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 694,Jio,3,1078,0,1078.0,3234.0,12,388.08,3622.08,55,In Stock,3.4,0,Returning,Main Market - Rohit Electronics,Card
TXN100036,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 360,Jio,1,2451,0,2451.0,2451.0,12,294.12,2745.12,66,In Stock,4.8,0,New,Main Market - Rohit Electronics,UPI
TXN100037,2025-01-11,Laptop Accessories,Mouse,Dell Mouse 738,Dell,6,78475,10,70627.5,423765.0,18,76277.7,500042.7,92,In Stock,4.8,0,Returning,Main Market - Rohit Electronics,UPI
TXN100038,2025-01-11,Laptop Accessories,Bags,HP Bags 296,HP,7,79695,5,75710.25,529971.75,18,95394.91,625366.67,22,Low Stock,4.0,0,New,Main Market - Rohit Electronics,UPI
TXN100039,2025-01-11,Mobile Accessories,Earphones,Mi Earphones 904,Mi,10,1742,5,1654.9,16549.0,18,2978.82,19527.82,59,In Stock,3.6,0,Returning,Main Market - Rohit Electronics,Card
TXN100000,2025-01-12,Mobiles,Feature Phones,Jio Feature Phones 195,Jio,2,2377,0,2377.0,4754.0,12,570.48,5324.48,25,Low Stock,2.9,0,Returning,Main Market - Rohit Electronics,Card
TXN100001,2025-01-12,Mobiles,Feature Phones,Jio Feature Phones 744,Jio,5,1398,10,1258.2,6291.0,12,754.92,7045.92,49,In Stock,3.7,0,New,Main Market - Rohit Electronics,Cash
TXN100002,2025-01-12,Laptop Accessories,Keyboard,HP Keyboard 923,HP,12,97889,0,97889.0,1174668.0,18,211440.24,1386108.24,71,In Stock,3.1,0,Returning,Main Market - Rohit Electronics,Cash
TXN100003,2025-01-12,Laptop Accessories,Bags,Zebronics Bags 727,Zebronics,14,2073,15,1762.05,24668.7,18,4440.37,29109.07,54,In Stock,4.6,0,New,Main Market - Rohit Electronics,Card
TXN100004,2025-01-12,Laptop Accessories,Cooling Pads,Dell Cooling Pads 869,Dell,4,76789,0,76789.0,307156.0,18,55288.08,362444.08,99,In Stock,3.8,0,Returning,Main Market - Rohit Electronics,UPI
TXN100005,2025-01-12,Mobiles,Feature Phones,Jio Feature Phones 378,Jio,3,1654,15,1405.9,4217.7,12,506.12,4723.82,10,Low Stock,2.8,0,New,Main Market - Rohit Electronics,Card
TXN100006,2025-01-12,Laptops,Gaming,MSI Gaming 517,MSI,3,151121,0,151121.0,453363.0,18,81605.34,534968.34,7,Low Stock,3.0,0,New,Main Market - Rohit Electronics,Card
TXN100007,2025-01-12,Laptop Accessories,Cooling Pads,Logitech Cooling Pads 460,Logitech,5,2297,15,1952.45,9762.25,18,1757.2,11519.45,53,In Stock,3.8,0,New,Main Market - Rohit Electronics,UPI
TXN100008,2025-01-12,Laptops,Business,HP Business 597,HP,1,80968,0,80968.0,80968.0,18,14574.24,95542.24,86,In Stock,4.5,0,Returning,Main Market - Rohit Electronics,Cash
TXN100009,2025-01-12,Mobiles,Feature Phones,Jio Feature Phones 185,Jio,4,1277,15,1085.45,4341.8,12,521.02,4862.82,23,Low Stock,2.6,0,New,Main Market - Rohit Electronics,UPI
TXN100010,2025-01-12,Mobile Accessories,Screen Protectors,Mi Screen Protectors 384,Mi,13,1363,0,1363.0,17719.0,18,3189.42,20908.42,10,Low Stock,3.7,0,New,Main Market - Rohit Electronics,UPI
TXN100011,2025-01-12,Laptops,Student,Acer Student 899,Acer,1,27033,15,22978.05,22978.05,18,4136.05,27114.1,25,Low Stock,4.6,0,New,Main Market - Rohit Electronics,Cash
TXN100012,2025-01-12,Laptop Accessories,Mouse,HP Mouse 576,HP,12,63586,10,57227.4,686728.8,18,123611.18,810339.98,21,Low Stock,4.0,1,New,Main Market - Rohit Electronics,Cash
TXN100013,2025-01-12,Mobile Accessories,Chargers,Boat Chargers 419,Boat,10,1887,15,1603.95,16039.5,18,2887.11,18926.61,48,In Stock,3.5,0,New,Main Market - Rohit Electronics,Card
TXN100014,2025-01-12,Laptops,Gaming,HP Gaming 891,HP,3,45866,10,41279.4,123838.2,18,22290.88,146129.08,72,In Stock,4.5,0,Returning,Main Market - Rohit Electronics,Card
TXN100015,2025-01-12,Mobile Accessories,Chargers,Samsung Chargers 112,Samsung,14,47528,10,42775.2,598852.8,18,107793.5,706646.3,13,Low Stock,3.6,0,Returning,Main Market - Rohit Electronics,Card
TXN100016,2025-01-12,Laptops,Business,Dell Business 851,Dell,5,77628,0,77628.0,388140.0,18,69865.2,458005.2,68,In Stock,4.4,0,Returning,Main Market - Rohit Electronics,UPI
TXN100017,2025-01-12,Laptops,Gaming,MSI Gaming 561,MSI,2,140910,5,133864.5,267729.0,18,48191.22,315920.22,85,In Stock,3.4,0,Returning,Main Market - Rohit Electronics,Cash
TXN100018,2025-01-12,Laptop Accessories,Keyboard,Dell Keyboard 916,Dell,5,57304,0,57304.0,286520.0,18,51573.6,338093.6,76,In Stock,4.3,0,New,Main Market - Rohit Electronics,Card
TXN100019,2025-01-12,Laptops,Gaming,ASUS Gaming 837,ASUS,4,134038,5,127336.1,509344.4,18,91681.99,601026.39,30,Low Stock,4.2,0,Returning,Main Market - Rohit Electronics,UPI
TXN100020,2025-01-12,Mobiles,Smartphones,Xiaomi Smartphones 326,Xiaomi,4,19334,0,19334.0,77336.0,18,13920.48,91256.48,84,In Stock,4.0,0,Returning,Main Market - Rohit Electronics,UPI
TXN100021,2025-01-12,Mobile Accessories,Screen Protectors,Mi Screen Protectors 377,Mi,5,1014,0,1014.0,5070.0,18,912.6,5982.6,92,In Stock,3.0,0,New,Main Market - Rohit Electronics,Cash
TXN100022,2025-01-12,Laptops,Student,Lenovo Student 383,Lenovo,5,79820,5,75829.0,379145.0,18,68246.1,447391.1,36,In Stock,5.0,0,Returning,Main Market - Rohit Electronics,Cash
TXN100023,2025-01-12,Mobile Accessories,Earphones,Samsung Earphones 114,Samsung,12,55005,0,55005.0,660060.0,18,118810.8,778870.8,5,Low Stock,4.9,0,New,Main Market - Rohit Electronics,Card
TXN100024,2025-01-12,Laptop Accessories,Mouse,Logitech Mouse 687,Logitech,5,2622,0,2622.0,13110.0,18,2359.8,15469.8,43,In Stock,3.0,0,Returning,Main Market - Rohit Electronics,Cash
TXN100000,2025-01-13,Mobiles,Feature Phones,Jio Feature Phones 175,Jio,5,2289,5,2174.55,10872.75,12,1304.73,12177.48,19,Low Stock,2.9,0,Returning,Main Market - Rohit Electronics,Cash
TXN100001,2025-01-13,Laptops,Gaming,HP Gaming 882,HP,4,59581,10,53622.9,214491.6,18,38608.49,253100.09,48,In Stock,3.6,0,Returning,Main Market - Rohit Electronics,UPI
TXN100002,2025-01-13,Mobiles,Smartphones,Samsung Smartphones 740,Samsung,2,37343,5,35475.85,70951.7,18,12771.31,83723.01,20,Low Stock,3.1,0,New,Main Market - Rohit Electronics,Cash
TXN100003,2025-01-13,Laptop Accessories,Cooling Pads,Zebronics Cooling Pads 398,Zebronics,1,1074,0,1074.0,1074.0,18,193.32,1267.32,36,In Stock,4.3,0,New,Main Market - Rohit Electronics,UPI
TXN100004,2025-01-13,Laptops,Business,Dell Business 657,Dell,2,77443,0,77443.0,154886.0,18,27879.48,182765.48,34,In Stock,4.6,0,New,Main Market - Rohit Electronics,UPI
TXN100005,2025-01-13,Mobile Accessories,Cases,Boat Cases 579,Boat,12,1122,5,1065.9,12790.8,18,2302.34,15093.14,34,In Stock,3.8,0,New,Main Market - Rohit Electronics,Card
TXN100006,2025-01-13,Mobiles,Feature Phones,Jio Feature Phones 718,Jio,3,1052,0,1052.0,3156.0,12,378.72,3534.72,86,In Stock,4.6,0,New,Main Market - Rohit Electronics,Card
TXN100007,2025-01-13,Mobile Accessories,Chargers,Realme Chargers 581,Realme,9,18674,0,18674.0,168066.0,18,30251.88,198317.88,35,In Stock,3.0,0,Returning,Main Market - Rohit Electronics,Cash
TXN100008,2025-01-13,Laptop Accessories,Bags,Zebronics Bags 441,Zebronics,6,1972,0,1972.0,11832.0,18,2129.76,13961.76,20,Low Stock,3.3,0,Returning,Main Market - Rohit Electronics,Card
TXN100009,2025-01-13,Laptop Accessories,Mouse,Zebronics Mouse 190,Zebronics,6,1116,0,1116.0,6696.0,18,1205.28,7901.28,98,In Stock,3.5,0,New,Main Market - Rohit Electronics,Card
TXN100010,2025-01-13,Laptop Accessories,Cooling Pads,Logitech Cooling Pads 292,Logitech,9,2181,5,2071.95,18647.55,18,3356.56,22004.11,63,In Stock,4.1,0,New,Main Market - Rohit Electronics,UPI
TXN100011,2025-01-13,Laptops,Business,HP Business 815,HP,4,45915,0,45915.0,183660.0,18,33058.8,216718.8,80,In Stock,4.0,0,New,Main Market - Rohit Electronics,UPI
TXN100012,2025-01-13,Mobiles,Feature Phones,Jio Feature Phones 330,Jio,1,1945,15,1653.25,1653.25,12,198.39,1851.64,82,In Stock,4.6,0,Returning,Main Market - Rohit Electronics,Card
TXN100013,2025-01-13,Mobile Accessories,Cases,Mi Cases 583,Mi,4,1435,5,1363.25,5453.0,18,981.54,6434.54,49,In Stock,3.0,0,New,Main Market - Rohit Electronics,Cash
TXN100014,2025-01-13,Mobile Accessories,Cases,Samsung Cases 906,Samsung,9,37509,10,33758.1,303822.9,18,54688.12,358511.02,36,In Stock,4.3,0,Returning,Main Market - Rohit Electronics,Cash
TXN100015,2025-01-13,Laptop Accessories,Cooling Pads,Dell Cooling Pads 440,Dell,9,84995,5,80745.25,726707.25,18,130807.3,857514.55,58,In Stock,4.8,0,New,Main Market - Rohit Electronics,Card
TXN100016,2025-01-13,Laptop Accessories,Keyboard,Zebronics Keyboard 144,Zebronics,6,2125,0,2125.0,12750.0,18,2295.0,15045.0,48,In Stock,3.5,0,New,Main Market - Rohit Electronics,UPI
TXN100017,2025-01-13,Mobiles,Smartphones,Vivo Smartphones 704,Vivo,3,9644,15,8197.4,24592.2,18,4426.6,29018.8,56,In Stock,2.7,1,New,Main Market - Rohit Electronics,Card
TXN100018,2025-01-13,Laptops,Business,Lenovo Business 258,Lenovo,1,60768,10,54691.2,54691.2,18,9844.42,64535.62,33,In Stock,3.3,0,New,Main Market - Rohit Electronics,UPI
TXN100019,2025-01-13,Laptop Accessories,Bags,Zebronics Bags 993,Zebronics,9,673,5,639.35,5754.15,18,1035.75,6789.9,30,Low Stock,4.1,1,New,Main Market - Rohit Electronics,Card
TXN100020,2025-01-13,Mobiles,Feature Phones,Jio Feature Phones 878,Jio,1,1908,0,1908.0,1908.0,12,228.96,2136.96,38,In Stock,4.8,0,New,Main Market - Rohit Electronics,UPI
TXN100021,2025-01-13,Mobile Accessories,Screen Protectors,Mi Screen Protectors 249,Mi,4,1587,0,1587.0,6348.0,18,1142.64,7490.64,87,In Stock,4.5,0,New,Main Market - Rohit Electronics,Card
TXN100022,2025-01-13,Laptop Accessories,Keyboard,Zebronics Keyboard 697,Zebronics,3,1075,0,1075.0,3225.0,18,580.5,3805.5,32,In Stock,3.6,0,Returning,Main Market - Rohit Electronics,UPI
TXN100023,2025-01-13,Laptops,Gaming,MSI Gaming 453,MSI,5,119210,5,113249.5,566247.5,18,101924.55,668172.05,54,In Stock,4.2,0,Returning,Main Market - Rohit Electronics,Cash
TXN100024,2025-01-13,Laptop Accessories,Cooling Pads,Logitech Cooling Pads 342,Logitech,7,2170,5,2061.5,14430.5,18,2597.49,17027.99,89,In Stock,3.2,1,Returning,Main Market - Rohit Electronics,UPI
TXN100025,2025-01-13,Mobiles,Smartphones,Vivo Smartphones 863,Vivo,4,12689,10,11420.1,45680.4,18,8222.47,53902.87,29,Low Stock,4.0,0,New,Main Market - Rohit Electronics,Card
TXN100026,2025-01-13,Mobile Accessories,Earphones,Boat Earphones 742,Boat,11,580,0,580.0,6380.0,18,1148.4,7528.4,56,In Stock,2.6,0,New,Main Market - Rohit Electronics,Cash
TXN100027,2025-01-13,Mobile Accessories,Screen Protectors,Mi Screen Protectors 279,Mi,4,770,10,693.0,2772.0,18,498.96,3270.96,46,In Stock,3.8,1,New,Main Market - Rohit Electronics,UPI
TXN100028,2025-01-13,Laptop Accessories,Bags,Dell Bags 923,Dell,2,65692,20,52553.6,105107.2,18,18919.3,124026.5,18,Low Stock,4.4,0,Returning,Main Market - Rohit Electronics,Card
TXN100029,2025-01-13,Mobile Accessories,Chargers,Mi Chargers 114,Mi,5,1598,0,1598.0,7990.0,18,1438.2,9428.2,47,In Stock,4.2,0,Returning,Main Market - Rohit Electronics,Card
TXN100030,2025-01-13,Mobile Accessories,Chargers,Realme Chargers 582,Realme,1,18150,15,15427.5,15427.5,18,2776.95,18204.45,71,In Stock,3.3,0,New,Main Market - Rohit Electronics,Card
TXN100031,2025-01-13,Laptop Accessories,Bags,Zebronics Bags 219,Zebronics,3,692,15,588.2,1764.6,18,317.63,2082.23,38,In Stock,5.0,0,New,Main Market - Rohit Electronics,Card
TXN100032,2025-01-13,Laptops,Business,HP Business 479,HP,5,84935,5,80688.25,403441.25,18,72619.43,476060.67,93,In Stock,2.9,0,New,Main Market - Rohit Electronics,UPI
TXN100033,2025-01-13,Laptop Accessories,Bags,Logitech Bags 806,Logitech,6,1589,0,1589.0,9534.0,18,1716.12,11250.12,30,Low Stock,4.6,0,Returning,Main Market - Rohit Electronics,Card
TXN100034,2025-01-13,Mobile Accessories,Chargers,Mi Chargers 382,Mi,4,750,15,637.5,2550.0,18,459.0,3009.0,58,In Stock,2.7,0,New,Main Market - Rohit Electronics,Cash
TXN100035,2025-01-13,Mobile Accessories,Earphones,Realme Earphones 905,Realme,10,11362,0,11362.0,113620.0,18,20451.6,134071.6,97,In Stock,3.9,0,New,Main Market - Rohit Electronics,UPI
TXN100036,2025-01-13,Laptops,Student,Acer Student 383,Acer,2,33519,5,31843.05,63686.1,18,11463.5,75149.6,22,Low Stock,2.8,0,New,Main Market - Rohit Electronics,Cash
TXN100037,2025-01-13,Mobile Accessories,Earphones,Samsung Earphones 116,Samsung,3,37391,0,37391.0,112173.0,18,20191.14,132364.14,94,In Stock,3.6,0,New,Main Market - Rohit Electronics,UPI
TXN100038,2025-01-13,Laptop Accessories,Bags,Logitech Bags 562,Logitech,9,1607,15,1365.95,12293.55,18,2212.84,14506.39,5,Low Stock,4.3,1,Returning,Main Market - Rohit Electronics,UPI
TXN100039,2025-01-13,Mobiles,Smartphones,Realme Smartphones 967,Realme,4,14984,5,14234.8,56939.2,18,10249.06,67188.26,62,In Stock,4.3,0,New,Main Market - Rohit Electronics,UPI
TXN100040,2025-01-13,Laptops,Gaming,ASUS Gaming 381,ASUS,5,146724,5,139387.8,696939.0,18,125449.02,822388.02,41,In Stock,3.5,0,Returning,Main Market - Rohit Electronics,UPI
TXN100041,2025-01-13,Laptop Accessories,Mouse,Logitech Mouse 973,Logitech,11,2958,10,2662.2,29284.2,18,5271.16,34555.36,27,Low Stock,3.6,0,Returning,Main Market - Rohit Electronics,UPI
TXN100042,2025-01-13,Laptop Accessories,Cooling Pads,Zebronics Cooling Pads 847,Zebronics,2,1240,0,1240.0,2480.0,18,446.4,2926.4,85,In Stock,3.1,1,Returning,Main Market - Rohit Electronics,Cash
TXN100043,2025-01-13,Mobiles,Smartphones,Apple Smartphones 542,Apple,1,113797,10,102417.3,102417.3,18,18435.11,120852.41,16,Low Stock,3.9,0,Returning,Main Market - Rohit Electronics,Card
TXN100044,2025-01-13,Mobiles,Feature Phones,Jio Feature Phones 994,Jio,4,2777,15,2360.45,9441.8,12,1133.02,10574.82,6,Low Stock,4.9,0,Returning,Main Market - Rohit Electronics,Cash
TXN100045,2025-01-13,Laptops,Gaming,HP Gaming 593,HP,2,44184,0,44184.0,88368.0,18,15906.24,104274.24,71,In Stock,3.4,0,New,Main Market - Rohit Electronics,UPI
TXN100000,2025-01-14,Mobiles,Feature Phones,Jio Feature Phones 284,Jio,3,2439,10,2195.1,6585.3,12,790.24,7375.54,43,In Stock,3.4,0,New,Main Market - Rohit Electronics,Card
TXN100001,2025-01-14,Laptop Accessories,Mouse,HP Mouse 858,HP,11,34018,0,34018.0,374198.0,18,67355.64,441553.64,67,In Stock,3.0,0,Returning,Main Market - Rohit Electronics,Cash
TXN100002,2025-01-14,Mobile Accessories,Screen Protectors,Samsung Screen Protectors 895,Samsung,10,59074,0,59074.0,590740.0,18,106333.2,697073.2,6,Low Stock,2.9,0,New,Main Market - Rohit Electronics,Card
TXN100003,2025-01-14,Mobiles,Feature Phones,Jio Feature Phones 777,Jio,4,1994,5,1894.3,7577.2,12,909.26,8486.46,53,In Stock,3.2,0,New,Main Market - Rohit Electronics,UPI
TXN100004,2025-01-14,Laptop Accessories,Mouse,Dell Mouse 794,Dell,11,73871,0,73871.0,812581.0,18,146264.58,958845.58,85,In Stock,3.3,0,New,Main Market - Rohit Electronics,Cash
TXN100005,2025-01-14,Laptops,Business,Dell Business 885,Dell,2,85080,0,85080.0,170160.0,18,30628.8,200788.8,41,In Stock,2.8,0,Returning,Main Market - Rohit Electronics,Cash
TXN100006,2025-01-14,Laptops,Business,Lenovo Business 820,Lenovo,2,62785,5,59645.75,119291.5,18,21472.47,140763.97,85,In Stock,4.5,0,New,Main Market - Rohit Electronics,UPI
TXN100007,2025-01-14,Mobiles,Feature Phones,Jio Feature Phones 982,Jio,3,2179,0,2179.0,6537.0,12,784.44,7321.44,51,In Stock,4.3,0,New,Main Market - Rohit Electronics,UPI
TXN100008,2025-01-14,Mobiles,Feature Phones,Jio Feature Phones 920,Jio,5,1942,10,1747.8,8739.0,12,1048.68,9787.68,46,In Stock,2.7,0,New,Main Market - Rohit Electronics,UPI
TXN100009,2025-01-14,Laptop Accessories,Mouse,Zebronics Mouse 991,Zebronics,5,2127,0,2127.0,10635.0,18,1914.3,12549.3,42,In Stock,4.4,0,New,Main Market - Rohit Electronics,Card
TXN100010,2025-01-14,Laptops,Business,HP Business 844,HP,2,60968,0,60968.0,121936.0,18,21948.48,143884.48,32,In Stock,3.0,0,New,Main Market - Rohit Electronics,Cash
TXN100011,2025-01-14,Laptop Accessories,Cooling Pads,Zebronics Cooling Pads 797,Zebronics,15,2406,5,2285.7,34285.5,18,6171.39,40456.89,81,In Stock,5.0,0,Returning,Main Market - Rohit Electronics,Cash
TXN100012,2025-01-14,Laptop Accessories,Mouse,Zebronics Mouse 552,Zebronics,11,1220,10,1098.0,12078.0,18,2174.04,14252.04,75,In Stock,2.6,0,Returning,Main Market - Rohit Electronics,UPI
TXN100013,2025-01-14,Laptop Accessories,Mouse,Logitech Mouse 477,Logitech,14,1875,0,1875.0,26250.0,18,4725.0,30975.0,11,Low Stock,4.0,0,Returning,Main Market - Rohit Electronics,Card
TXN100014,2025-01-14,Mobiles,Feature Phones,Jio Feature Phones 429,Jio,5,1974,5,1875.3,9376.5,12,1125.18,10501.68,7,Low Stock,3.6,0,Returning,Main Market - Rohit Electronics,Card
TXN100015,2025-01-14,Mobiles,Smartphones,Apple Smartphones 353,Apple,4,129945,0,129945.0,519780.0,18,93560.4,613340.4,66,In Stock,4.0,0,Returning,Main Market - Rohit Electronics,UPI
TXN100016,2025-01-14,Laptop Accessories,Bags,Logitech Bags 908,Logitech,11,2070,0,2070.0,22770.0,18,4098.6,26868.6,12,Low Stock,3.9,0,Returning,Main Market - Rohit Electronics,Card
TXN100017,2025-01-14,Laptops,Business,Dell Business 696,Dell,2,57925,0,57925.0,115850.0,18,20853.0,136703.0,83,In Stock,4.2,0,New,Main Market - Rohit Electronics,UPI
TXN100018,2025-01-14,Laptop Accessories,Bags,HP Bags 786,HP,12,98995,0,98995.0,1187940.0,18,213829.2,1401769.2,85,In Stock,3.6,0,Returning,Main Market - Rohit Electronics,UPI
TXN100019,2025-01-14,Laptops,Gaming,MSI Gaming 884,MSI,4,105166,0,105166.0,420664.0,18,75719.52,496383.52,17,Low Stock,2.9,0,New,Main Market - Rohit Electronics,Card
TXN100020,2025-01-14,Mobiles,Feature Phones,Jio Feature Phones 711,Jio,4,1315,0,1315.0,5260.0,12,631.2,5891.2,88,In Stock,4.4,0,New,Main Market - Rohit Electronics,Card
